name,state,dept_type,url
bnsf police department,nebraska,other law enforcement agencies,https://www.bnsf.com/in-the-community/safety-and-security/police-team.html
department of the air force police,nebraska,other law enforcement agencies,https://www.offutt.af.mil/
"federal bureau of investigation, omaha",nebraska,other law enforcement agencies,https://www.fbi.gov/contact-us/field-offices/omaha
federal protective services,nebraska,other law enforcement agencies,https://www.cnn.com/us/live-news/george-floyd-protests-05-30-20/h_e9837e22d597b46b3562f2e9281edaad
federal reserve police,nebraska,other law enforcement agencies,https://en.wikipedia.org/wiki/Federal_Reserve_Police
immigration and naturalization services,nebraska,other law enforcement agencies,https://www.uscis.gov/about-us/find-a-uscis-office/field-offices/nebraska-omaha-field-office
iowa tribal police department,nebraska,other law enforcement agencies,https://www.iowatribeofkansasandnebraska.com/police-department
lancaster county sheriff's office,nebraska,county agencies,https://www.lancaster.ne.gov/231/Sheriffs-Office
lincoln airport authority police department,nebraska,other law enforcement agencies,https://www.lincolnairport.com/
lincoln county sheriff's office,nebraska,county agencies,https://lincolncountysheriff.us/
lincoln police department,nebraska,municipal agencies,https://www.lincoln.ne.gov/city/police/
metropolitan community college police,nebraska,other law enforcement agencies,https://www.mccneb.edu/Current-Students/Current-Students-Resources/Police.aspx
morrill county sheriff's office,nebraska,county agencies,http://www.morrillcountyne.gov/sheriff.html
nebraska brand committee,nebraska,state agencies,https://nbc.nebraska.gov/
nebraska department of agriculture,nebraska,state agencies,https://nda.nebraska.gov/
nebraska department of insurance,nebraska,state agencies,https://doi.nebraska.gov/
nebraska department of motor vehicles,nebraska,state agencies,https://dmv.nebraska.gov/
nebraska department of revenue,nebraska,state agencies,https://revenue.nebraska.gov/
nebraska emergency management agency,nebraska,state agencies,https://nema.nebraska.gov/
nebraska game and parks commission,nebraska,state agencies,http://outdoornebraska.gov/
nebraska law enforcement training center,nebraska,state agencies,https://nletc.nebraska.gov/
nebraska state fire marshal,nebraska,state agencies,https://sfm.nebraska.gov/
nebraska state patrol,nebraska,state agencies,https://statepatrol.nebraska.gov/
nebraska state racing commission,nebraska,state agencies,https://racingcommission.nebraska.gov/
office of the united states marshal for the district of nebraska,nebraska,other law enforcement agencies,https://www.usmarshals.gov/district/ne/general/marshal.htm
omaha airport police department,nebraska,other law enforcement agencies,https://www.flyoma.com/omaha-airport-authority/
omaha nation police department,nebraska,other law enforcement agencies,https://www.indianz.com/News/show.asp?ID=law/582001-1
omaha police department,nebraska,municipal agencies,https://police.cityofomaha.org/
santee sioux nation police department,nebraska,other law enforcement agencies,http://santeesiouxnation.net/
sarpy county sheriff's department,nebraska,county agencies,https://apps.sarpy.com/sheriff/
union pacific police department,nebraska,other law enforcement agencies,https://www.up.com/aboutup/community/safety/special_agents/index.htm
united states department of veterans affairs police,nebraska,other law enforcement agencies,https://www.nebraska.va.gov/services/Police_Service.asp
university of nebraska at kearney,nebraska,state agencies,https://www.unk.edu/
university of nebraska at lincoln,nebraska,state agencies,https://www.unl.edu/
university of nebraska at omaha,nebraska,state agencies,https://www.unomaha.edu/
university of nebraska-kearney campus police,nebraska,other law enforcement agencies,https://www.unk.edu/offices/police/index.php
university of nebraska-lincoln campus police,nebraska,other law enforcement agencies,https://police.unl.edu/
university of nebraska medical center campus police,nebraska,other law enforcement agencies,https://www.unmc.edu/aboutus/security/index.html
university of nebraska-omaha campus police,nebraska,other law enforcement agencies,https://www.unomaha.edu/public-safety/index.php
