zipcode,office,official,phones,emails,website
20019,D.C. City Council Member,"Robert C. White, Jr.",['(202) 724-8174'],['rwhite@dccouncil.us'],
20019,D.C. Attorney General,Elissa Silverman,['(202) 724-7772'],['esilverman@dccouncil.us'],
20019,D.C. Mayor,Anita Bonds,['(202) 724-8064'],['abonds@dccouncil.us'],
20019,D.C. City Council Chairman,David Grosso,['(202) 724-8105'],['dgrosso@dccouncil.us'],
20020,D.C. City Council Member,"Robert C. White, Jr.",['(202) 724-8174'],['rwhite@dccouncil.us'],
20020,D.C. Attorney General,Elissa Silverman,['(202) 724-7772'],['esilverman@dccouncil.us'],
20020,D.C. Mayor,Anita Bonds,['(202) 724-8064'],['abonds@dccouncil.us'],
20020,D.C. City Council Chairman,David Grosso,['(202) 724-8105'],['dgrosso@dccouncil.us'],
20007,D.C. City Council Member,"Robert C. White, Jr.",['(202) 724-8174'],['rwhite@dccouncil.us'],
20007,D.C. Attorney General,Elissa Silverman,['(202) 724-7772'],['esilverman@dccouncil.us'],
20007,D.C. Mayor,Anita Bonds,['(202) 724-8064'],['abonds@dccouncil.us'],
20007,D.C. City Council Chairman,David Grosso,['(202) 724-8105'],['dgrosso@dccouncil.us'],
20010,D.C. City Council Member,"Robert C. White, Jr.",['(202) 724-8174'],['rwhite@dccouncil.us'],
20010,D.C. Attorney General,Elissa Silverman,['(202) 724-7772'],['esilverman@dccouncil.us'],
20010,D.C. Mayor,Anita Bonds,['(202) 724-8064'],['abonds@dccouncil.us'],
20010,D.C. City Council Chairman,David Grosso,['(202) 724-8105'],['dgrosso@dccouncil.us'],
